Product Name,Processor Type,RAM,Storage,Display,Features,Price
"Dell Latitude 3520 Core i5 11th Gen 15.6"" HD Laptop","Intel Core i5-1235U 12th Gen (12M Cache, Up to 4.40 GHz)","8GB DDR4, ", 256GB SSD,"15.6"" HD (1366 x 768)"," Backlit Keyboard, Type-C","72,000"
"ASUS VivoBook 16 X1605ZA Core i3 12th Gen 16"" WUXGA Laptop","Intel Core i5-1235U 12th Gen (12M Cache, Up to 4.40 GHz)","8GB LPDDR4X, ", 512GB SSD,"16-inch,  WUXGA (1920 x 1200) IPS","Built-in array microphone, Type-C","72,000"
"Lenovo V15 Gen 3 Core i5 12th Gen 15.6"" FHD Laptop",AMD Ryzen 5 4600H (3.0 GHz Up to 4.0 GHz),"8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920 x 1080), 60Hz","Backlit Keyboard, Metal Body, Type-C","72,500"
"HP 250 G8 Core i5 11th Gen 8GB RAM 256GB SSD 15.6"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920 x 1080)","Fingerprint, Pop-up Camera, Type-C","72,800"
"HP 15s-eq3619AU Ryzen 5 5625U 15.6"" FHD Laptop","Intel Core i7-10510U (8MB Cache, 1.8GHz up to 4.9GHz)","8GB DDR4, ", 512GB SSD,"15"" FHD (1920 x 1080)","Backlit Keyboard, Fingerprint, Type-C","73,200"
"Acer Aspire 3 A315-59-57VA Core i5 12th Gen 15.6"" FHD Laptop","Intel Core i7-1195G7 (12M Cache, 2.90 GHz up to 5.00 GHz)","8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920x1080) IPS","Type-C, M.2","74,000"
"Acer Aspire 3 A315-59-50J9 Core i5 12th Gen 15.6"" FHD Laptop","Intel Core i5-1235U (12M Cache, 1.30 GHz, up to 4.40 GHz)","8GB RAM, ", 512GB SSD,"15.6"" FHD (1920x1080) IPS","Stereo Speaker, Type-C","74,000"
"ASUS Vivobook 15 M1502IA-EJ388W Ryzen 5 4600H 15.6"" FHD Laptop","Intel Core i5-1135G7 (8MB Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4,  ", 512GB NVME SSD,15.6 FHD (1920 x 1080),"Type-C, Backlit Keyboard, Wi-Fi 6E","74,000"
"Walton Tamarind MX511G Core i5 11th Gen 14"" FHD Laptop",AMD Ryzen 5 7530U (2.0GHz up to 4.5GHz),"8GB DDR4, ", 512GB SSD,"14"" FHD (1920 x 1080)","Backlit Keyboard, Type-C, Fingerprint","74,500"
"Walton Passion BX710U Core i7 10th Gen 15.6"" FHD Laptop",Intel Core i5-1135G7 11th Gen (2.40 GHz to 4.20 GHz Turbo),"8GB DDR4 , ", 512GB SSD,"15.6"" FHD (1920 x 1080)",Stereo Speakers,"74,550"
"Thunderobot IGER E1 Core i7 11th Gen 15.6"" FHD Laptop","Intel Core i5-1235U (12M Cache, 3.30 GHz, up to 4.40 GHz)","8GB DDR4 , ", 512GB SSD,"15.6 Inch FHD (1920 x 1080) IPS, 60Hz","Spill-resistant keyboard, Type-C","74,900"
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 14"" FHD Laptop",AMD Ryzen 5 7530U (2.0GHz up to 4.5GHz),"8GB DDR4, ", 512GB SSD,"14"" FHD TN (1920 x 1080) 250 nits","Backlit Keyboard, Type-C, Wi-Fi 6E, Privacy Shutter","75,500"
"HUAWEI MateBook B3-520 Core i5 11th Gen 15.6"" FHD Laptop",AMD Ryzen 5 7530U (2.0GHz up to 4.5GHz) ,"8GB DDR4 , ", 512GB SSD,"15.6"" FHD (1920x1080) IPS 300 nits","Fingerprint, Type-C","76,000"
"Lenovo IP Slim 3 15ABR8 Ryzen 5 15.6"" FHD Laptop","Intel Core i5-1235U (12M Cache, 1.30 GHz, up to 4.40 GHz)","8GB 3200MHZ, ", 512GB PCIe SSD,"15.6"" FHD (1920x1080)","Fingerprint, Type-C","72,000"
"Dell Latitude 3520 Core i5 11th Gen 512GB SSD 15.6"" HD Laptop","Intel Core i5-1235U (12M Cache, 3.30 GHz, up to 4.40 GHz)","8GB DDR4,  ", 512GB NVME SSD,"15.6"" HD (1366 x 768)","Backlit Keyboard, Type-C","76,000"
"Acer Aspire 3 A315-59 Core i5 12th Gen 15.6"" FHD Laptop",AMD Ryzen 5 7530U (2.0GHz up to 4.5GHz),"8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920x1080) TFT LCD","Backlit Keyboard, Fingerprint, Type-C","76,500"
"Acer Swift Go 14 SFG14-42 Ryzen 5 7530U 14"" FHD Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","8GB DDR4 3200Mhz, ", 512GB NVMe SSD,"14"" FHD (1920 x 1080) IPS","Backlit Keyboard, Type-C","77,000"
"Acer Swift Go 14 SFG14-41 Ryzen 5 7530U 14"" FHD Laptop With Fingerprint","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","16GB DDR5, ", 512GB SSD,"14"" FHD (1920x1080) IPS","Spill-resistant keyboard, Type-C","77,000"
"Dell Inspiron 15 3520 Core i5 12th Gen 15.6"" FHD Laptop",Intel Core i5-1235U (1.3 GHz Up to 4.4 GHz),"16GB DDR4 3200MHz RAM, ", 512GB SSD ,"15.6"" FHD (1920 x 1080)","Camera Privacy Shutter, Stereo Speakers","78,500"
"Acer TravelMate TMP214-54 Core i5 12th Gen 14"" FHD Laptop","Intel Core i5-1235U (12M Cache, 3.30 GHz, up to 4.40 GHz)","8GB 3200MHz, ", 1TB HDD,"14"" FHD (1920 x 1080)","Backlit Keyboard, Type-C","78,500"
"ASUS Vivobook 14 M1405YA AMD Ryzen 5 7530U 14"" WUXGA Laptop",AMD Ryzen 7 5700U (Base 1.8GHz up to Up to 4.3GHz),"8 GB DDR4 3200MHz, ", 512GB PCIe M.2 SSD,"14-inch, WUXGA (1920 x 1200) IPS","Illuminated Chiclet Keyboard, Type-C","78,500"
"Huawei MateBook D15 Core i5 11th Gen 15.6"" FHD Laptop","Intel Core i5-1235U (12M Cache, 3.30 GHz, up to 4.40 GHz)","8 GB DDR4 3200MHz, ", 512GB PCIe M.2 SSD,"15.6"" FHD (1920x1080) IPS 60Hz","Backlight Keyboard, Type-C","76,000"
"Huawei MateBook B3-420 Core i5 11th Gen 14"" FHD Laptop","Intel Core i7-1165G7 (2.8- 4.7GHZ, 12MB )","8 GB DDR4 3200MHz, ", 512GB PCIe M.2 SSD,"14"" FHD (1920x1080) IPS 60Hz","Fingerprint, Type-C","76,000"
"ASUS VivoBook 15 X1502ZA-EJ1249W Core i5 12th Gen 15.6"" FHD Laptop",AMD Ryzen 7 5700U (Base 1.8GHz up to Up to 4.3GHz),"8GB DDR4, ", 512GB SSD,15.6 Inch FHD (1920 x 1080),"Type-C, Wi-Fi 6, Privacy Shutter, Mic Mute Key","79,500"
"ASUS VivoBook 15 X1502ZA Core i5 1235U 12th Gen 15.6"" FHD Laptop",AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz) ,"8GB DDR4, ", 512GB SSD,"15.6"" FHD (1920X1080)","Type-C, Wi-Fi 6, Privacy Shutter, Mic Mute Key","79,500"
"Lenovo IdeaPad 3 Ryzen 7 5700U 15.6"" FHD Laptop with Windows 11","Intel Core i5-1235U (3.30 GHz, up to 4.40 GHz)","16GB DDR4 3200MHz RAM, ", 512GB SSD ,"15.6"" FHD (1920x1080) IPS","Type-C, Wi-Fi 6, Privacy Shutter, Mic Mute Key","79,900"
"Acer TravelMate P2 TMP215-54 Core i5 12th Gen 15.6"" FHD Laptop","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)","8 GB DDR4 3200MHz, ", 512GB PCIe M.2 SSD,"15.6"" FHD (1920 x 1080)","Dual speakers, Integrated Microphone, Type-C","80,000"
"Lenovo IdeaPad 3i 15ITL6 core i7 11th Gen 15.6"" FHD Laptop","Intel Core i5-1335U (up to 4.6 GHz, 12 MB L3 cache)","8 GB DDR4 3200MHz, ", 512GB PCIe M.2 SSD,"15.6"" FHD (1920 x 1080)","Backlight Keyboard, Type-C","80,500"
